id,name,description,price
1,"Arctic Freeze","Indulge in the refreshing taste of our Arctic Freeze Blueberry Shake. Made with plump, juicy blueberries and creamy vanilla ice cream, this frosty treat is sure to take your taste buds on a journey to the arctic. Perfect for hot summer days or as a sweet indulgence any time of year, our Arctic Freeze Blueberry Shake is a must-try for any blueberry lover. So go ahead, sip and savor the cool, fruity goodness of our Arctic Freeze Blueberry Shake today!",	9.99
2,"Bubble Blast","Enjoy the burst of flavors with our Bubble Blast Bubble Tea. Made with freshly brewed tea and chewy tapioca pearls, this delightful beverage comes in a variety of flavors including classic milk tea, taro, and mango. Treat yourself to a refreshing Bubble Blast today!",4.99
3,"Strawberry Dream","Dive into a world of sweetness with our Strawberry Dream Smoothie. Made with ripe strawberries, creamy yogurt, and a hint of honey, this smoothie is the perfect blend of fruity goodness. Sip your way to bliss with our Strawberry Dream Smoothie!",5.49
4,"Tropical Paradise","Escape to a Tropical Paradise with our exotic fruit blend smoothie. Bursting with the flavors of pineapple, mango, and coconut, this tropical delight will transport you to a sunny beach with every sip. Experience the taste of paradise today!",5.99
5,"Coco Loco","Get loco with our Coco Loco Coconut Shake. Made with fresh coconut milk and topped with whipped cream and toasted coconut flakes, this creamy concoction is a coconut lover's dream come true. Indulge in the madness of Coco Loco today!",6.49
6,"Peachy Keen","Embrace the peachy goodness with our Peachy Keen Bubble Tea. Made with real peaches and your choice of tea, this refreshing beverage is perfect for satisfying your thirst on a hot day. Treat yourself to a taste of summer with Peachy Keen!",4.99
7,"Mango Tango","Get ready to tango with our Mango Tango Smoothie. Bursting with the tropical flavor of ripe mangoes and a hint of citrus, this smoothie is a dance party in your mouth. Shake things up with Mango Tango today!",5.49
8,"Matcha Madness","Experience the matcha madness with our Matcha Madness Bubble Tea. Made with premium matcha powder and creamy milk, this Japanese-inspired beverage is a matcha made in heaven. Dive into the green tea goodness of Matcha Madness!",5.99
9,"Berry Blast","Blast off into flavor with our Berry Blast Frozen Shake. Packed with a medley of mixed berries and blended with creamy vanilla ice cream, this shake is a berry lover's delight. Prepare for a taste explosion with Berry Blast!",6.49
10,"Kiwi Kiss","Savor the sweetness with our Kiwi Kiss Smoothie. Made with fresh kiwi fruit and a splash of citrus, this tangy treat is like a kiss from the tropics. Enjoy the refreshing taste of Kiwi Kiss today!",5.49
11,"Lychee Love","Fall in love with our Lychee Love Bubble Tea. Made with juicy lychee fruit and your choice of tea, this exotic beverage is a symphony of flavors. Let your taste buds dance with Lychee Love!",4.99
12,"Pineapple Punch","Punch up your day with our Pineapple Punch Smoothie. Bursting with the tropical flavor of fresh pineapple and a hint of coconut, this smoothie is like a vacation in a cup. Take a sip and escape to paradise with Pineapple Punch!",5.99
13,"Vanilla Velvet","Indulge in the smoothness of our Vanilla Velvet Frozen Shake. Made with rich vanilla bean ice cream and topped with whipped cream, this shake is pure luxury in a cup. Treat yourself to the velvety goodness of Vanilla Velvet!",6.49
14,"Blueberry Bliss","Experience bliss with our Blueberry Bliss Bubble Tea. Made with plump blueberries and your choice of tea, this refreshing beverage is a burst of fruity flavor in every sip. Dive into the blueberry bliss today!",4.99
15,"Coconut Craze","Go crazy for coconut with our Coconut Craze Smoothie. Made with fresh coconut milk and blended with tropical fruits, this creamy concoction is like a day at the beach in a cup. Get swept away by the Coconut Craze!",5.99
16,"Peach Paradise","Enter paradise with our Peach Paradise Frozen Shake. Made with ripe peaches and creamy vanilla ice cream, this shake is a heavenly blend of sweet and creamy. Experience peach perfection with Peach Paradise!",6.49
17,"Passionfruit Passion","Get passionate about flavor with our Passionfruit Passion Bubble Tea. Made with exotic passionfruit and your choice of tea, this tropical beverage is a burst of sweetness with every sip. Fall in love with Passionfruit Passion!",5.49
18,"Raspberry Rapture","Let your taste buds soar with our Raspberry Rapture Smoothie. Packed with juicy raspberries and a splash of citrus, this smoothie is a fruity explosion of flavor. Take your taste buds on a journey with Raspberry Rapture!",5.99
19,"Strawberry Sensation","Delight in the sensation of our Strawberry Sensation Frozen Shake. Made with ripe strawberries and blended with creamy vanilla ice cream, this shake is a strawberry lover's dream come true. Experience the sensation today!",6.49
20,"Taro Temptation","Succumb to temptation with our Taro Temptation Bubble Tea. Made with creamy taro root and your choice of tea, this indulgent beverage is a creamy delight with a hint of sweetness. Give in to Taro Temptation!",4.99
21,"Watermelon Wave","Ride the wave of flavor with our Watermelon Wave Smoothie. Made with fresh watermelon and a splash of citrus, this refreshing smoothie is like a summer breeze in a cup. Catch the Watermelon Wave today!",5.49
