id,name,location
1,CBD,"1 Elizabeth Street, Sydney"
2,Chinatown,"23 Dixon Street, Sydney"
3,Harbourfront,"Circular Quay, Sydney"
4,Westfield,"500 Oxford Street, Bondi Junction"
5,North Shore,"200 Pacific Highway, North Sydney"
6,Beachside,"Coogee Beach, Coogee"
7,Inner City,"Darlinghurst Road, Darlinghurst"
8,University Campus,"123 University Avenue, Camperdown"
9,Suburban Hub,"50 Main Street, Parramatta"
10,Waterfront,"The Promenade, Manly"
11,Shopping Mall,"Pitt Street Mall, Sydney"
12,Entertainment District,"George Street, Haymarket"
13,Corporate Park,"Macquarie Park, North Ryde"
14,Garden Oasis,"Botanic Gardens, Sydney"
15,High Street,"High Street, Penrith"
16,Railway Station,"Central Station, Sydney"
17,Wharfside,"Circular Quay Wharf, Sydney"
18,Industrial Zone,"Port Botany, Botany"
19,Residential Area,"King Street, Newtown"
20,Sports Arena,"Moore Park, Paddington"
